module_id	strictest_pval	n_genes	n_domains	tokenised_genes
21	0.057861773349684814	4	10	ACP_syn_III_c39,PP-binding_c59,Thioesterase_c22,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13
22	0.03398223165212396	4	5	Acyl_transf_1_c4,Epimerase_c9,RGP,ketoacyl-synt_c16;Ketoacyl-synt_C_c67
23	0.008915656285120178	4	11	ADH_N_c17;ADH_zinc_N_c24,FAD_binding_3_c9,FSH1,ketoacyl-synt_c21;Ketoacyl-synt_C_c4;Acyl_transf_1_c25;PS-DH_c15;PP-binding_c34;Methyltransf_12_c14;NAD_binding_4_c44
24	0.006954588531891645	3	3	Acetyltransf_8,IucA_IucC_c3,Pyridoxal_deC
25	0.002553283635034418	3	3	HpcH_HpaI_c1,IucA_IucC_c10,IucA_IucC_c2
26	0.017305808484272062	10	13	Cyclase_polyket,DUF1205_c1,FAD_binding_3_c42,FAD_binding_3_c42;adh_short_c18,GFO_IDH_MocA_c25,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c34
27	0.03229407885928471	3	9	Abhydrolase_1_c26,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;KR_c5;PP-binding_c13,Thioesterase_c22
28	0.005344886735400274	6	26	AMP-binding_c43;AMP-binding_C_c61,AMP-binding_c53;AMP-binding_C_c31,Abhydrolase_1_c26,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13;KR_c73;PP-binding_c8,PS-DH_c3;adh_short_c9;PP-binding_c13,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13;Thioesterase_c29
29	0.039029123765125955	9	10	DUF1205_c1,DegT_DnrJ_EryC1_c12,Epimerase_c2,Epimerase_c45,GFO_IDH_MocA_c25,NTP_transferase,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c20;Ketoacyl-synt_C_c34
30	0.018322058868223207	4	6	ACP_syn_III_c51;ACP_syn_III_C_c5,Acyl_transf_1_c46,PP-binding_c51,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
31	0.023127403602821173	5	6	FAD_binding_3_c5,FAD_binding_3_c59,Methyltransf_2,Polyketide_cyc2,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
32	0.008057514581678055	3	5	Ald_Xan_dh_C;Ald_Xan_dh_C2,FAD_binding_5;CO_deh_flav_C,NTP_transf_3_c17
33	0.01949934988006553	3	3	Aldo_ket_red,DegT_DnrJ_EryC1_c46,TylF
34	0.0058824068876676605	3	12	FAD_binding_3_c9,Transferase_c23,ketoacyl-synt_c11;Ketoacyl-synt_C_c55;KAsynt_C_assoc;Acyl_transf_1_c9;PS-DH_c2;Methyltransf_12_c14;ADH_N_c13;ADH_zinc_N_c8;adh_short_c9;PP-binding_c7
35	0.04826894751801656	8	16	4HBT_c18,Anth_synt_I_N;Chorismate_bind_c53,Condensation_c12,GMC_oxred_N;GMC_oxred_C_c22,MDMPI_N;Wyosine_form,Neocarzinostat,PP-binding_c21,ketoacyl-synt_c77;Ketoacyl-synt_C_c27;KAsynt_C_assoc;Acyl_transf_1_c34;adh_short_c9;PS-DH_c29
36	0.02078497889323373	3	3	DegT_DnrJ_EryC1_c46,NTP_transferase,Neocarzinostat
37	0.04444895228477713	3	3	DUF1772,Lactamase_B,Polyketide_cyc2
38	0.040298229789348314	7	10	Asp_Arg_Hydrox,Condensation_c15,GATase_7_c9;Asn_synthase_c4,Glyoxalase_c16,PP-binding_c23,PP-binding_c4;Condensation_c11,PfkB;CTP_transf_like
39	3.0766441842781e-05	4	7	3HCDH_N;3HCDH,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c24,HAD_2_c6,PP-binding_c15
40	0.030953300072105668	4	9	DUF1772,Lactamase_B,Scytalone_dh,ketoacyl-synt_c18;Ketoacyl-synt_C_c4;KAsynt_C_assoc;Acyl_transf_1_c13;PS-DH_c1;PP-binding_c17
41	0.002155278071211951	4	7	AMP-binding_c6;AMP-binding_C_c79,DIOX_N_c12;2OG-FeII_Oxy_c44,DIOX_N_c34;2OG-FeII_Oxy_c30,p450_c7
42	0.0408632614826487	3	10	AMP-binding_c32;AMP-binding_C_c48,Amino_oxidase_c17,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;adh_short_c9;PP-binding_c13
43	0.028593690283392165	3	5	Aminotran_1_2_c42,SQS_PSY_c15,TPP_enzyme_N_c34;TPP_enzyme_M;TPP_enzyme_C_c24
44	0.0010315746137570918	3	4	Arylsulfotran_2,Chal_sti_synt_N_c11;Chal_sti_synt_C_c4,Sulfotransfer_4
45	0.03830639401572978	4	6	Chorismate_bind_c38;GATase_c53,Isochorismatase_c20,PhzC-PhzF_c9,Putative_PNPOx_c52;PNP_phzG_C_c15
46	0.0048008004470680606	3	3	FAD_binding_3_c10,adh_short_c4,p450_c7
47	0.03837974961474608	3	4	Terpene_synth_c7;Terpene_synth_C_c17,p450_c1,p450_c60
48	0.0014521972739061158	5	7	AA_kinase_c5,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c29,BtrH_N,RimK,Semialdhyde_dh
49	0.017326977758616677	3	3	FAD_binding_3_c50,Sulfotransfer_1,p450_c5
50	0.0042543741339072585	3	3	Acyltransferase,Ketoacyl-synt_2,PP-binding_c36
51	0.048776297442715166	3	4	ADH_N_c34;ADH_zinc_N_c4,DegT_DnrJ_EryC1_c33,PP-binding_c12
52	0.0006877625774310107	3	4	Acyl_transf_1_c39,GATase_7_c14;Asn_synthase_c4,PP-binding_c15
53	0.04934627272381318	4	6	AMP-binding_c43;AMP-binding_C_c61,AMP-binding_c53;AMP-binding_C_c48,Abhydrolase_1_c26,PP-binding_c15
54	0.043226754013859156	3	3	DegT_DnrJ_EryC1_c6,FdtA,NTP_transferase
55	0.02267848571058369	3	3	FAD_binding_3_c21,NmrA,Trp_DMAT_c3
56	0.04254244601830928	10	20	Aminotran_1_2_c39,Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,Condensation_c6;AMP-binding_c3;AMP-binding_C_c60;PP-binding_c22;Condensation_c20;Thioesterase_c10,Condensation_c6;AMP-binding_c3;AMP-binding_C_c60;PP-binding_c4,ECH_1_c16,ECH_1_c42,FAD_binding_3_c50,FMN_dh,Glyoxalase_c27;Glyoxalase_c6,PDH
57	0.05908315611890465	5	7	ADH_N_c2;ADH_zinc_N_c38,Aminotran_3_c22,DHQ_synthase_c32,GFO_IDH_MocA_c2,NAD_binding_8_c18;GMC_oxred_C_c35
58	0.002155278071211951	3	4	FAD_binding_4;Cytokin-bind,G_glu_transpept,PhzC-PhzF_c35
59	1.4109048428959613e-06	3	6	Ald_Xan_dh_C;Ald_Xan_dh_C2,FAD_binding_5;CO_deh_flav_C,Fer2;Fer2_2
60	0.061018601835402496	3	19	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;ADH_N_c13;ADH_zinc_N_c32;adh_short_c9;PP-binding_c13,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13,PP-binding_c13
61	4.4637275627197335e-05	3	22	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;adh_short_c9;PP-binding_c13,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;KR_c5;PP-binding_c13;Thioesterase_c29
62	0.002338157975102731	3	4	PP-binding_c20,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
63	0.05754066314810931	4	5	Acyl_transf_1_c39,FabA_c5,ketoacyl-synt_c12,ketoacyl-synt_c16;Ketoacyl-synt_C_c15
64	0.047870964619868804	3	3	APH,Aminotran_3_c22,DHQ_synthase_c32
65	0.02798307897079584	5	7	AMP-binding_c40;AMP-binding_C_c48,AMP-binding_c53;AMP-binding_C_c61,Abhydrolase_1_c26,Met_asp_mut_E,Orn_Arg_deC_N_c6
66	0.032394244243972733	5	6	Aminotran_3_c22,DHQ_synthase_c32,DegT_DnrJ_EryC1_c3,GMC_oxred_N;GMC_oxred_C_c35,PIG-L
67	0.042655320698914444	6	7	ABM_c11,DegT_DnrJ_EryC1_c9,Epimerase_c45,SnoaL,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
68	0.026990430741011998	3	6	2-oxoacid_dh;DUF1100,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c43,DegT_DnrJ_EryC1_c9
69	0.0445162005105862	6	7	AMP-binding_c30,Chorismate_bind_c38;GATase_c53,DAHP_synth_2_c18,HMG-CoA_red,Isochorismatase_c20,PTase_Orf2
70	9.497499905519083e-08	4	30	Condensation_c9;AMP-binding_c39;AMP-binding_C_c12;Nitroreductase_c6;AMP-binding_C_c18;PP-binding_c19,ketoacyl-synt_c27;Ketoacyl-synt_C_c39;KAsynt_C_assoc;Acyl_transf_1_c18;PS-DH_c12;ADH_N_c33;ADH_zinc_N_c68;adh_short_c9;PP-binding_c48;Thioesterase_c1,ketoacyl-synt_c37;Ketoacyl-synt_C_c16;KAsynt_C_assoc;Acyl_transf_1_c18;ADH_N_c35;ADH_zinc_N_c54;PP-binding_c48,ketoacyl-synt_c7;Ketoacyl-synt_C_c7;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c12;adh_short_c9;PP-binding_c48
71	0.02894331239324623	10	20	AMP-binding_c39;AMP-binding_C_c35;PP-binding_c19;Nitroreductase_c6,Condensation_c15,Condensation_c25;AMP-binding_c3;AMP-binding_C_c31;PP-binding_c5,Epimerase_c9,GATase_7_c9;Asn_synthase_c4,Glyco_transf_9,Glycos_transf_2_c14;Asp_Arg_Hydrox,PP-binding_c23,PP-binding_c4;Condensation_c11,PfkB;CTP_transf_like
72	0.043377920398553434	6	9	AMP-binding_c26;AMP-binding_C_c31,AMP-binding_c26;AMP-binding_C_c61,Aminotran_1_2_c23,Peptidase_S15;PepX_C,Radical_SAM_c22,TauD_c39
73	0.0025631583105256675	5	7	ECH_1_c12,ECH_1_c34,HMG_CoA_synt_N;HMG_CoA_synt_C,PP-binding_c24,ketoacyl-synt_c47;Ketoacyl-synt_C_c18
74	0.000482602292758129	3	3	GTP_cyclohydroI,PTPS,Radical_SAM_c52
75	0.023658546743340596	3	3	ACPS_c24,Acyl_transf_1_c22,Acyl_transf_1_c49
76	0.002882805132426525	4	6	AMP-binding_c43;AMP-binding_C_c61,AMP-binding_c53;AMP-binding_C_c31,Abhydrolase_1_c26,PP-binding_c15
77	7.947465474767207e-06	4	7	3HCDH_N;3HCDH,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c24,HAD_2_c55,PP-binding_c15
78	0.04897382161696191	3	3	FAD_binding_3_c21,Scytalone_dh,adh_short_c18
79	0.05818753430607674	5	11	Cellulase,FKBP_C,Metallophos,Peptidase_M1,ketoacyl-synt_c41;Ketoacyl-synt_C_c16;KAsynt_C_assoc;Acyl_transf_1_c15;PS-DH_c17;adh_short_c9;PP-binding_c18
80	0.022385969303777148	4	12	DegT_DnrJ_EryC1_c25,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13;Thioesterase_c29,Thioesterase_c22,UDPGT_c30
81	0.053209705147197014	5	7	Aminotran_3_c22,DHQ_synthase_c32,DegT_DnrJ_EryC1_c3,GMC_oxred_N;GMC_oxred_C_c35,Glyco_transf_4_c9;Glycos_transf_1_c11
82	0.01585284365521327	3	3	DegT_DnrJ_EryC1_c4,FdtA,NTP_transferase
83	0.001059941957721588	3	3	Amino_oxidase_c12,Lycopene_cycl,Methyltransf_12_c30
84	0.024077310557328646	3	13	AMP-binding_c6;AMP-binding_C_c79,Transferase_c19,ketoacyl-synt_c11;Ketoacyl-synt_C_c42;KAsynt_C_assoc;Acyl_transf_1_c27;PS-DH_c14;Methyltransf_12_c14;ADH_N_c13;ADH_zinc_N_c8;adh_short_c9;PP-binding_c7
85	0.05136794890906164	3	5	Beta_elim_lyase,Condensation_c12,PALP;ATPgrasp_N;ATP-grasp_4
86	0.00021166944769805153	3	6	AMP-binding_c43;AMP-binding_C_c25,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c36,PP-binding_c15
87	0.02042691709636087	3	3	Transferase_c44,adh_short_c4,p450_c7
88	0.057586088236604445	3	7	AA_kinase_c21;ACT_7,Cu-oxidase_3;Cu-oxidase,HMG_CoA_synt_N;HMG_CoA_synt_C;ACP_syn_III_C_c32
89	0.03856417697722556	9	11	ABM_c11,Acyl_transf_1_c46,Cyclase_polyket,GFO_IDH_MocA_c25,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c65
90	0.06098338287736765	5	27	AMP-binding_c16,Condensation_c11;AMP-binding_c26;AMP-binding_C_c23;PP-binding_c14,PP-binding_c16,ketoacyl-synt_c37;Ketoacyl-synt_C_c16;KAsynt_C_assoc;Acyl_transf_1_c18;PP-binding_c26;Aminotran_3_c35;Bac_luciferase;Condensation_c15;AMP-binding_c12;AMP-binding_C_c12;PP-binding_c66,ketoacyl-synt_c40;Ketoacyl-synt_C_c39;KAsynt_C_assoc;Acyl_transf_1_c18;PS-DH_c19;Methyltransf_12_c14;ADH_N_c13;ADH_zinc_N_c32;adh_short_c9;PP-binding_c13
91	0.023127403602821173	3	3	FAD_binding_3_c59,Polyketide_cyc2,adh_short_c48
92	0.023113486154524777	3	4	Lyase_aromatic,MDMPI_N;Wyosine_form,PP-binding_c21
93	0.009634803825711758	3	4	Aminotran_5_c31,FAD_binding_4;Cytokin-bind,PhzC-PhzF_c35
94	0.05725859426169379	5	6	Aminotran_1_2_c29,GST_N_3;GST_C,Methyltransf_25_c4,p450_c15,p450_c7
95	0.002918777353975584	3	4	ECH_1_c1,ECH_1_c12,HMG_CoA_synt_N;HMG_CoA_synt_C
96	0.0463545419121282	3	15	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PP-binding_c13,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13,SnoaL_2_c24
97	0.0038925574583271883	4	17	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;adh_short_c9;PP-binding_c13,Radical_SAM_c31,Thioesterase_c22
98	0.05942685789045385	3	6	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c9,GMC_oxred_N;GMC_oxred_C_c32,Thioesterase_c1
99	0.048436940885718247	8	10	ACPS_c7,Carboxyl_trans,Cyclase_polyket,FAD_binding_3_c42;adh_short_c18,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
100	0.000559692550590343	3	3	DUF1929,Glyco_hydro_6,Glycos_transf_2_c43
101	0.04516737473452775	3	12	Acyl-CoA_dh_N;Acyl-CoA_dh_2,Amino_oxidase_c30,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13;NAD_binding_4_c21
102	0.0007842636004408664	3	4	Anth_synt_I_N;Chorismate_bind_c53,DAHP_synth_2_c8,GATase_c50
103	0.010329757287316483	3	3	Acyl-CoA_dh_2,Flavin_Reduct,adh_short_c50
104	0.013369309890626752	5	6	ABM_c22,Cyclase_polyket,PP-binding_c9,Polyketide_cyc,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
105	0.0005444074427517453	7	7	DUF1205_c1,DegT_DnrJ_EryC1_c12,Epimerase_c2,Epimerase_c45,GFO_IDH_MocA_c25,NTP_transferase,dTDP_sugar_isom
106	0.04755556638704397	3	4	GLF,Glyco_transf_4_c10;Glycos_transf_1_c11,Glycos_transf_2_c20
107	0.05908315611890465	5	7	ADH_N_c2;ADH_zinc_N_c38,Aminotran_3_c22,DHQ_synthase_c32,DegT_DnrJ_EryC1_c3,NAD_binding_8_c18;GMC_oxred_C_c35
108	0.025932491473060475	4	4	Acyl_transf_1_c39,FabA_c5,ketoacyl-synt_c12,polyprenyl_synt_c14
109	0.025657563463571783	3	4	GHMP_kinases_N,Lyase_1,PALP;ATP-grasp_4
110	0.05403514946116472	7	8	DegT_DnrJ_EryC1_c12,Epimerase_c2,Epimerase_c45,GFO_IDH_MocA_c25,Glyco_trans_4_4_c28;UDPGT_c13,NTP_transferase,dTDP_sugar_isom
111	0.0408632614826487	5	7	Chal_sti_synt_N_c11;Chal_sti_synt_C_c13,GHMP_kinases_N,HMG-CoA_red,HMG_CoA_synt_N;ACP_syn_III_C_c32,PTase_Orf2
112	0.004995773087915373	3	3	DAHP_synth_2_c8,Isochorismatase_c20,adh_short_c30
113	0.03856417697722556	10	12	ABM_c11,Acyl_transf_1_c46,Cyclase,Epimerase_c45,GFO_IDH_MocA_c25,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c34
114	0.021098945406009064	3	13	Flavodoxin_5,ketoacyl-synt_c40;Ketoacyl-synt_C_c39;KAsynt_C_assoc;Acyl_transf_1_c18;PP-binding_c37,ketoacyl-synt_c7;Ketoacyl-synt_C_c7;KAsynt_C_assoc;Acyl_transf_1_c7;adh_short_c9;PS-DH_c8;PP-binding_c23
115	0.031517140743320016	3	4	AMP-binding_c30;AMP-binding_C_c39,CM_2,Chorismate_bind_c35
116	0.029513672259673	12	20	Aminotran_1_2_c39,Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,Condensation_c6;AMP-binding_c12;AMP-binding_C_c60;PP-binding_c22;Condensation_c20;Thioesterase_c10,DAHP_synth_1,ECH_1_c16,ECH_1_c42,ECH_1_c43,FAD_binding_3_c50,Glyco_transf_28;UDPGT_c50,Glyoxalase_c27;Glyoxalase_c6,PDH,Peptidase_M15
117	0.0391079248417044	3	8	Acetyltransf_8,TauD_c3,ketoacyl-synt_c7;Ketoacyl-synt_C_c7;KAsynt_C_assoc;Acyl_transf_1_c7;adh_short_c9;PP-binding_c22
118	0.06032868662476189	3	7	DUF1772,Methyltransf_2,ketoacyl-synt_c18;Ketoacyl-synt_C_c4;Acyl_transf_1_c13;PS-DH_c1;PP-binding_c17
119	6.148340305910397e-07	3	6	3HCDH_N;3HCDH,ACP_syn_III_c34;ACP_syn_III_C_c3,ADH_N_c13;ADH_zinc_N_c16
120	0.025211111085767412	5	13	Trp_DMAT_c4,adh_short_c14,adh_short_c39,ketoacyl-synt_c26;Ketoacyl-synt_C_c29;KAsynt_C_assoc;Acyl_transf_1_c27;PS-DH_c25;ADH_N_c13;ADH_zinc_N_c8;adh_short_c9;PP-binding_c7,p450_c6
121	0.02184254900220759	5	5	DHQ_synthase_c22,DegT_DnrJ_EryC1_c3,FAD_binding_3_c41,GFO_IDH_MocA_c33,HAD_2_c30
122	0.043505195440143064	3	3	DegT_DnrJ_EryC1_c25,Thioesterase_c22,p450_c5
123	0.03507115225708762	4	7	ACP_syn_III_c33;ACP_syn_III_C_c3,GHMP_kinases_N,HMG-CoA_red,HMG_CoA_synt_N;HMG_CoA_synt_C;ACP_syn_III_C_c32
124	0.03272781443545844	3	7	FAD_binding_3_c51,Thioesterase_c24,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PP-binding_c13
125	0.06132817191965812	3	4	GMC_oxred_N;GMC_oxred_C_c35,His_Phos_1,Radical_SAM_c54
126	0.0017521108013408752	3	3	Acetyltransf_8,IucA_IucC_c4,Pyridoxal_deC
127	0.05501818446574862	4	10	AMP-binding_c28;AMP-binding_C_c15,Condensation_c49,PaaA_PaaC,ketoacyl-synt_c7;Ketoacyl-synt_C_c7;KAsynt_C_assoc;Acyl_transf_1_c7;PP-binding_c14;Thioesterase_c10
128	0.03614668724101378	3	3	PTPS,QueC,Radical_SAM_c52
129	0.055069070723468706	5	6	AMP-binding_c40;AMP-binding_C_c48,Abhydrolase_1_c26,Acyl_transf_1_c44,Orn_Arg_deC_N_c6,PP-binding_c15
130	0.050573071491788774	4	4	Acetyltransf_8,K_oxygenase_c44,TauD_c3,Thioesterase_c1
131	0.04728608585851627	3	16	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13,Thioesterase_c22,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13
132	0.017247094808008442	3	13	ADH_N_c5;ADH_zinc_N_c24,FSH1,ketoacyl-synt_c11;Ketoacyl-synt_C_c55;KAsynt_C_assoc;Acyl_transf_1_c9;PS-DH_c2;Methyltransf_12_c14;ADH_N_c13;ADH_zinc_N_c8;adh_short_c9;PP-binding_c7
133	0.06104314001695363	8	15	2-Hacid_dh_C,Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,Condensation_c6;AMP-binding_c12;AMP-binding_C_c60;PP-binding_c22;Condensation_c20;Thioesterase_c10,Dala_Dala_lig_N;Dala_Dala_lig_C,ECH_1_c16,ECH_1_c42,ECH_1_c43,Peptidase_M15
134	6.555822366099253e-07	3	4	AMP-binding_c30;AMP-binding_C_c39,Isochorismatase_c20,PP-binding_c39
135	0.0008520467284873037	3	16	ADH_N_c17;ADH_zinc_N_c24,ketoacyl-synt_c31;Ketoacyl-synt_C_c11;KAsynt_C_assoc;Acyl_transf_1_c9;PS-DH_c14;Methyltransf_12_c14;adh_short_c9;PP-binding_c7;Condensation_c22;AMP-binding_c26;AMP-binding_C_c31;PP-binding_c11;NAD_binding_4_c21,p450_c17
136	0.007194396607163524	3	9	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;KR_c5;PP-binding_c13,FAD_binding_3_c7,SnoaL_2_c24
137	0.059979388997105754	6	8	DegT_DnrJ_EryC1_c46,Epimerase_c2,Methyltransf_13;Methyltransf_23;Methyltransf_14,NTP_transferase,UDPGT_c13,dTDP_sugar_isom
138	0.008725247620620826	3	4	2-oxoacid_dh;DUF1100,DegT_DnrJ_EryC1_c20,Methyltransf_25_c27
139	0.03491668296584458	3	3	HisG,Hydrolase_3,adh_short_c45
140	0.05903062388426588	3	5	AMP-binding_c16;PP-binding_c19;Thioesterase_c15,Epimerase_c43,SnoaL_2_c20
141	0.059979388997105754	5	5	DUF1205_c1,DegT_DnrJ_EryC1_c46,Epimerase_c2,NTP_transferase,dTDP_sugar_isom
142	0.023127403602821173	5	6	Cyclase,FAD_binding_3_c5,FAD_binding_3_c59,Polyketide_cyc2,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
